V1,V2,V3,V4,V5,V7,V8,V9,V10,Intro,Q54,Q55,Syn1: A,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Syn1: N,Q58_1,Q58_2,Q58_3,Q58_4,Q58_5,Syn2: A,Q59_1,Q59_2,Q59_3,Q59_4,Q59_5,Syn2: N,Q60_1,Q60_2,Q60_3,Q60_4,Q60_5,Syn3: A,Q61_1,Q61_2,Q61_3,Q61_4,Q61_5,Syn3: N,Q62_1,Q62_2,Q62_3,Q62_4,Q62_5,Emo1: A,Q63_1,Q63_2,Q63_3,Q63_4,Q63_5,Emo1: N,Q64_1,Q64_2,Q64_3,Q64_4,Q64_5,Emo2: A,Q65_1,Q65_2,Q65_3,Q65_4,Q65_5,Emo2: N,Q66_1,Q66_2,Q66_3,Q66_4,Q66_5,Emo3: A,Q67_1,Q67_2,Q67_3,Q67_4,Q67_5,Emo3: N,Q68_1,Q68_2,Q68_3,Q68_4,Q68_5,Lex1: A,Q69_1,Q69_2,Q69_3,Q69_4,Q69_5,Lex1: N,Q70_1,Q70_2,Q70_3,Q70_4,Q70_5,Lex2: A,Q71_1,Q71_2,Q71_3,Q71_4,Q71_5,Lex2: N,Q72_1,Q72_2,Q72_3,Q72_4,Q72_5,Lex3: A,Q73_1,Q73_2,Q73_3,Q73_4,Q73_5,Lex3: N,Q74_1,Q74_2,Q74_3,Q74_4,Q74_5,Spac1: A,Q75_1,Q75_2,Q75_3,Q75_4,Q75_5,Spac1: N,Q76_1,Q76_2,Q76_3,Q76_4,Q76_5,Spac2: A,Q77_1,Q77_2,Q77_3,Q77_4,Q77_5,Spac2: N,Q78_1,Q78_2,Q78_3,Q78_4,Q78_5,Spac3: N,Q79_1,Q79_2,Q79_3,Q79_4,Q79_5,Spac3: A,Q80_1,Q80_2,Q80_3,Q80_4,Q80_5,Q56
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,Status,StartDate,EndDate,Finished,"Information and Consent Form for Participation in Research /  /    /  /  Investigator: Roger Kreuz, PhD,...",Gender,In what year were you born?,Carol has accepted an invitation to attend a murder mystery party /  being thrown by a coworker....,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-These individuals form a unified group,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-I would have a sense of togetherness if I observed this conversation,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-I think that these individuals can work together,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-These people are like minded,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-These people share goals,Carol has accepted an invitation to attend a murder mystery party /  being thrown by a coworker....,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-These individuals form a unified group,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-I would have a sense of togetherness if I observed this conversation,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-I think that these individuals can work together,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-These people are like minded,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-These people share goals,"John, a small business owner, has been chosen for jury duty, and /  reports to the court early in t...",Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-These individuals form a unified group,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-I would have a sense of togetherness if I observed this conversation,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-I think that these individuals can work together,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-These people are like minded,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-These people share goals,"John, a small business owner, has been chosen for jury duty, and /  reports to the court early in t...",Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-These individuals form a unified group,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-I would have a sense of togetherness if I observed this conversation,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-I think that these individuals can work together,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-These people are like minded,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-These people share goals,"Alice, a college sophomore, has an appointment to meet with her /  new advisor, because she’s chang...",Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-These individuals form a unified group,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-I would have a sense of togetherness if I observed this conversation,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-I think that these individuals can work together,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-These people are like minded,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-These people share goals,"Alice, a college sophomore, has an appointment to meet with her /  new advisor, because she’s chang...",Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-These individuals form a unified group,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-I would have a sense of togetherness if I observed this conversation,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-I think that these individuals can work together,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-These people are like minded,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-These people share goals,Customer enters the front door and walks toward the florist who is arranging flowers in a vase. ...,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-These individuals form a unified group,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-I would have a sense of togetherness if I observed this conversation,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-I think that these individuals can work together,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-These people are like minded,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-These people share goals,Customer enters the front door and walks toward the florist who is arranging flowers in a vase. ...,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-These individuals form a unified group,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-I would have a sense of togetherness if I observed this conversation,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-I think that these individuals can work together,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-These people are like minded,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-These people share goals,A patron enters the neighborhood library and approaches the librarian behind the desk.  The follo...,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-These individuals form a unified group,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-I would have a sense of togetherness if I observed this conversation,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-I think that these individuals can work together,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-These people are like minded,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-These people share goals,A patron enters the neighborhood library and approaches the librarian behind the desk.  The follo...,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-These individuals form a unified group,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-I would have a sense of togetherness if I observed this conversation,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-I think that these individuals can work together,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-These people are like minded,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-These people share goals,A doctor and patient are in the examination room.  The following conversation takes place:   The...,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-These individuals form a unified group,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-I would have a sense of togetherness if I observed this conversation,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-I think that these individuals can work together,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-These people are like minded,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-These people share goals,A doctor and patient are in the examination room.  The following conversation takes place:   The...,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-These individuals form a unified group,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-I would have a sense of togetherness if I observed this conversation,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-I think that these individuals can work together,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-These people are like minded,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-These people share goals,"Two strangers walk into the same exhibit room in a museum, and /  begin discussing a new exhibit on...",Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-These individuals form a unified group,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-I would have a sense of togetherness if I observed this conversation,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-I think that these individuals can work together,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-These people are like minded,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-These people share goals,"Two strangers wander into the same exhibit room in a museum, and /  begin discussing a new exhibit...",Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-These individuals form a unified group,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-I would have a sense of togetherness if I observed this conversation,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-I think that these individuals can work together,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-These people are like minded,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-These people share goals,"Two strangers strike up a conversation in a shop. They are /  comparing pants, and the first person...",Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-These individuals form a unified group,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-I would have a sense of togetherness if I observed this conversation,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-I think that these individuals can work together,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-These people are like minded,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-These people share goals,"Two strangers strike up a conversation in a shop. They are /  comparing pants, and the first person...",Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-These individuals form a unified group,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-I would have a sense of togetherness if I observed this conversation,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-I think that these individuals can work together,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-These people are like minded,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-These people share goals,A woman is wandering in an art gallery and observes a tour guide /  giving a personalized tour to o...,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-These individuals form a unified group,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-I would have a sense of togetherness if I observed this conversation,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-I think that these individuals can work together,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-These people are like minded,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-These people share goals,A woman is wandering in an art gallery and observes a tour guide /  giving a personalized tour to o...,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-These individuals form a unified group,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-I would have a sense of togetherness if I observed this conversation,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-I think that these individuals can work together,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-These people are like minded,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-These people share goals,A bewildered student makes his way down the hall and approaches /  the open door of his professor’s...,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-These individuals form a unified group,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-I would have a sense of togetherness if I observed this conversation,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-I think that these individuals can work together,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-These people are like minded,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-These people share goals,"A bewildered students sits alone in his room, and as he’s /  drafting an email to his professor he...",Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-These individuals form a unified group,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-I would have a sense of togetherness if I observed this conversation,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-I think that these individuals can work together,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-These people are like minded,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-These people share goals,A customer approaches a customer service desk with her copy of a /  book that she had purchased the...,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-These individuals form a unified group,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-I would have a sense of togetherness if I observed this conversation,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-I think that these individuals can work together,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-These people are like minded,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-These people share goals,A customer calls a customer service hotline with a copy of the /  book that she had ordered a week...,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-These individuals form a unified group,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-I would have a sense of togetherness if I observed this conversation,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-I think that these individuals can work together,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-These people are like minded,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-These people share goals,A man picks up his phone and calls the Memphis Police Department. /  /   /  The officer on duty picks u...,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-These individuals form a unified group,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-I would have a sense of togetherness if I observed this conversation,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-I think that these individuals can work together,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-These people are like minded,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-These people share goals,A man walks into the Memphis Police Department and approaches the /  desk of the officer on duty....,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-These individuals form a unified group,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-I would have a sense of togetherness if I observed this conversation,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-I think that these individuals can work together,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-These people are like minded,Rate the following statements from 1 (strongly disagree) to 7 (strongly agree)-These people share goals,Thank you for taking part in our survey! / Please click the browser tab to return to the Amazon Aut...
R_OP5LjMOTxSWdPhL,Default Response Set,Anonymous,,,0,10/22/15 16:52,10/22/15 16:55,1,1,2,1970,1,1,1,1,1,1,,,,,,,,,,,,,1,1,1,1,1,1,,,,,,,1,1,1,1,1,1,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,1,1,1,1,1,1,,,,,,,1,1,1,1,1,1,1
R_1LXNCwR2Lyizht6,Default Response Set,Anonymous,,,0,10/22/15 16:57,10/22/15 17:02,1,1,1,1987,,,,,,,1,4,4,4,4,5,1,4,2,4,4,4,,,,,,,,,,,,,1,1,1,1,1,1,1,3,4,4,2,3,,,,,,,,,,,,,1,7,7,7,7,7,,,,,,,1,1,1,1,1,1,1,7,7,7,7,7,,,,,,,,,,,,,1,5,6,6,5,5,1,1,1,1,1,1,,,,,,,1,5,5,6,4,4,,,,,,,,,,,,,1,6,7,7,7,7,1,7,7,7,7,7,,,,,,,1
R_3ikHTt4BEmv9CnJ,Default Response Set,Anonymous,,,0,10/22/15 16:58,10/22/15 17:02,1,1,1,1991,1,4,4,4,4,4,,,,,,,,,,,,,1,5,5,5,5,5,1,4,4,4,4,4,,,,,,,1,7,7,7,7,7,,,,,,,1,7,7,7,7,7,,,,,,,1,7,7,7,7,7,,,,,,,1,7,7,7,7,7,,,,,,,1,7,7,7,7,7,,,,,,,,,,,,,1,4,4,4,4,4,1,7,7,7,7,7,,,,,,,,,,,,,1,7,7,7,7,7,,,,,,,1,7,7,7,7,7,1
R_3kcdD5JACU8ipLd,Default Response Set,Anonymous,,,0,10/22/15 16:57,10/22/15 17:02,1,1,2,1992,,,,,,,1,7,7,7,7,7,1,4,6,5,5,4,,,,,,,1,3,3,4,3,3,,,,,,,,,,,,,1,1,1,1,1,1,,,,,,,1,1,1,1,1,2,1,6,6,7,5,6,,,,,,,1,7,7,7,7,7,,,,,,,,,,,,,1,7,7,7,7,7,1,1,1,1,1,3,,,,,,,1,4,3,4,3,4,,,,,,,,,,,,,1,5,4,5,4,5,1,5,5,5,5,5,,,,,,,1
R_3qWn7IXwNPCNhND,Default Response Set,Anonymous,,,0,10/22/15 16:58,10/22/15 17:05,1,1,1,1992,1,3,5,3,6,5,,,,,,,1,3,6,4,4,4,,,,,,,,,,,,,1,3,5,5,4,5,1,4,5,5,6,6,,,,,,,1,6,5,6,6,5,,,,,,,1,4,5,7,4,7,,,,,,,,,,,,,1,3,4,6,5,4,1,5,4,6,5,5,,,,,,,,,,,,,1,2,2,1,2,1,1,3,4,4,5,5,,,,,,,1,4,6,5,5,4,,,,,,,1,4,5,5,7,5,,,,,,,1
R_2c72SRYA2HcIBYa,Default Response Set,Anonymous,,,0,10/22/15 16:57,10/22/15 17:06,1,1,2,1974,,,,,,,1,4,5,5,4,4,1,6,6,7,7,5,,,,,,,1,4,3,5,3,3,,,,,,,1,5,5,6,5,6,,,,,,,,,,,,,1,3,2,3,3,2,,,,,,,1,2,1,3,2,2,1,4,5,5,4,4,,,,,,,,,,,,,1,6,5,6,7,7,1,2,2,2,1,2,,,,,,,,,,,,,1,3,3,5,4,4,1,4,4,6,5,5,,,,,,,1,5,4,5,5,5,,,,,,,1
R_xFA95PeetQsG6Fr,Default Response Set,Anonymous,,,0,10/22/15 16:58,10/22/15 17:06,1,1,2,1974,,,,,,,1,7,7,5,5,5,1,7,7,7,7,7,,,,,,,1,5,4,6,4,6,,,,,,,,,,,,,1,1,1,2,1,1,,,,,,,1,1,1,1,1,4,1,3,3,5,3,6,,,,,,,,,,,,,1,7,7,7,7,7,,,,,,,1,7,7,7,7,7,1,1,1,1,1,1,,,,,,,,,,,,,1,6,5,7,6,6,1,7,7,7,5,6,,,,,,,,,,,,,1,7,7,7,7,6,1
R_2AXoltXNsBun11X,Default Response Set,Anonymous,,,0,10/22/15 16:58,10/22/15 17:06,1,1,1,1990,1,6,6,7,5,6,,,,,,,1,5,5,6,5,4,,,,,,,,,,,,,1,4,4,6,4,4,,,,,,,1,3,4,5,3,5,1,5,6,7,5,6,,,,,,,1,4,5,6,3,5,,,,,,,1,4,6,4,7,4,,,,,,,1,5,6,6,5,6,,,,,,,1,3,2,2,1,2,,,,,,,1,4,4,6,3,4,,,,,,,,,,,,,1,4,5,6,4,4,,,,,,,1,4,5,5,5,5,1
R_3lS60deXMYVGWIo,Default Response Set,Anonymous,,,0,10/22/15 16:58,10/22/15 17:07,1,1,1,1986,1,6,6,6,6,6,,,,,,,1,4,4,5,5,4,,,,,,,1,4,4,4,4,4,,,,,,,,,,,,,1,3,4,4,4,3,1,6,6,6,6,6,,,,,,,,,,,,,1,3,3,3,3,5,,,,,,,1,6,6,6,6,6,1,3,3,3,3,4,,,,,,,,,,,,,1,3,3,2,,2,1,3,3,3,3,3,,,,,,,1,5,5,5,5,4,,,,,,,,,,,,,1,5,5,5,5,5,1
